RoomNo:101, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:102, IsLabRoom:No, Capacity:35, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:103, IsLabRoom:No, Capacity:25, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:104, IsLabRoom:No, Capacity:40, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:105, IsLabRoom:No, Capacity:45, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:08:30 10:30 12:30
RoomNo:106, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:107, IsLabRoom:No, Capacity:40, Equipments:SoundSystem, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:108, IsLabRoom:No, Capacity:35, Equipments:Projector, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:109, IsLabRoom:No, Capacity:25, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:110, IsLabRoom:No, Capacity:30, Equipments:Projector, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00

RoomNo:201, IsLabRoom:No, Capacity:40, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:202, IsLabRoom:No, Capacity:45, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:203, IsLabRoom:No, Capacity:30, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:204, IsLabRoom:No, Capacity:25, Equipments:SoundSystem, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:205, IsLabRoom:No, Capacity:50, Equipments:Projector, Days:Saturday Sunday Monday, Times:08:30 10:30 12:30
RoomNo:206, IsLabRoom:No, Capacity:35, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:207, IsLabRoom:No, Capacity:40, Equipments:Projector, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
RoomNo:208, IsLabRoom:No, Capacity:45, Equipments:Projector, Days:Saturday Sunday Monday, Times:08:00 10:00 12:00
RoomNo:209, IsLabRoom:No, Capacity:25, Equipments:Whiteboard, Days:Saturday Sunday Monday, Times:09:00 11:00 13:00
RoomNo:210, IsLabRoom:No, Capacity:30, Equipments:SmartBoard, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00

RoomNo:Lab1, IsLabRoom:Yes, Capacity:20, Equipments:PC, Days:Saturday Sunday Monday, Times:10:00 12:00 14:00
